iter	Logloss
0	0.6665088865
1	0.6362398995
2	0.6132102542
3	0.5919045342
4	0.5677187708
5	0.5448828273
6	0.5196240213
7	0.5013748275
8	0.4810374048
9	0.463634385
10	0.4453637865
11	0.4265436331
12	0.4140118493
13	0.3981077671
14	0.3865524398
15	0.3709047106
16	0.3582000203
17	0.3459740215
18	0.3339215914
19	0.322619915
20	0.3120408588
21	0.3034189012
22	0.2961771223
23	0.287908819
24	0.2788498931
25	0.2713931402
26	0.2622311115
27	0.2552923097
28	0.2488859495
29	0.2415595849
30	0.2351503902
31	0.2283882035
32	0.2206702497
33	0.2152461608
34	0.2099553082
35	0.2058983909
36	0.2019343906
37	0.1961962382
38	0.1914850606
39	0.1873930693
40	0.1820083724
41	0.1777065727
42	0.1732874711
43	0.1694083479
44	0.1660930051
45	0.1624809901
46	0.1585849788
47	0.1556533708
48	0.152053833
49	0.1491280397
50	0.1459980011
51	0.1430375576
52	0.1400498947
53	0.1375377708
54	0.1346486807
55	0.1322548919
56	0.1296733883
57	0.1267648273
58	0.123541779
59	0.1218474971
60	0.1198781861
61	0.1180315018
62	0.1160119904
63	0.1142788066
64	0.1119226482
65	0.1105066869
66	0.1090393729
67	0.1072166827
68	0.1053990788
69	0.1032044424
70	0.101682663
71	0.1004673507
72	0.09913371007
73	0.09785764085
74	0.09654924605
75	0.09491222435
76	0.09306527509
77	0.09174439642
78	0.09058778154
79	0.08946271737
80	0.0881674952
81	0.08694687817
82	0.08569371038
83	0.08436984486
84	0.08319318957
85	0.08164825704
86	0.08030152321
87	0.07932822572
88	0.07800798946
89	0.07709048854
90	0.0758646263
91	0.07492440277
92	0.07401383585
93	0.07308240069
94	0.07196133667
95	0.07120361593
96	0.0704802937
97	0.0696391662
98	0.06862158246
99	0.06763343679
