iter	Logloss
0	0.6706068251
1	0.6469784631
2	0.626349979
3	0.6033092923
4	0.5829692841
5	0.5614983453
6	0.5382585737
7	0.5172372606
8	0.5008555942
9	0.4855576409
10	0.4683618334
11	0.4554962582
12	0.4415019565
13	0.4244641198
14	0.4117151896
15	0.3996930864
16	0.3911873711
17	0.380339898
18	0.3644600338
19	0.3545389387
20	0.3438551373
21	0.334168201
22	0.3251913918
23	0.317725012
24	0.3088452233
25	0.3019226286
26	0.2926753574
27	0.2842932807
28	0.2771859487
29	0.269592158
30	0.2640834808
31	0.257621638
32	0.2529495451
33	0.2469752418
34	0.2414611816
35	0.2367829641
36	0.2325018141
37	0.2270932092
38	0.2205523597
39	0.2154708227
40	0.2098361545
41	0.205342314
42	0.2003651089
43	0.1964213477
44	0.1925410801
45	0.1886170493
46	0.1849021912
47	0.1803884718
48	0.1764562183
49	0.172812695
50	0.1696915415
51	0.1659555753
52	0.16208601
53	0.1583159129
54	0.1554405106
55	0.1523242421
56	0.1497410244
57	0.1466423353
58	0.1441171858
59	0.1408277194
60	0.1384952545
61	0.1355700599
62	0.1331991408
63	0.1308945656
64	0.1284862518
65	0.1261186494
66	0.1238986333
67	0.1219837825
68	0.1200823784
69	0.1178123156
70	0.1165743086
71	0.1149831984
72	0.1127216445
73	0.1113487668
74	0.1097543081
75	0.1081182056
76	0.1063669629
77	0.1048585892
78	0.1034676764
79	0.1020295567
80	0.1004276276
81	0.09887854258
82	0.09700641632
83	0.0955599361
84	0.09407178031
85	0.09276108212
86	0.09147279527
87	0.09011700948
88	0.08932513131
89	0.08812079959
90	0.08695782555
91	0.08564820819
92	0.08452862634
93	0.08290792041
94	0.08179275725
95	0.08094939656
96	0.07970370717
97	0.07872545984
98	0.07765777376
99	0.07661355866
