iter	Passed	Remaining
0	137	13651
1	167	8193
2	200	6474
3	232	5577
4	264	5029
5	271	4253
6	301	4006
7	329	3788
8	357	3617
9	390	3510
10	422	3416
11	454	3334
12	462	3096
13	493	3029
14	509	2885
15	543	2853
16	576	2815
17	610	2781
18	645	2753
19	684	2739
20	689	2593
21	723	2564
22	757	2537
23	765	2423
24	800	2401
25	834	2373
26	837	2265
27	868	2233
28	900	2204
29	932	2176
30	964	2146
31	997	2119
32	1004	2038
33	1035	2010
34	1070	1987
35	1103	1961
36	1136	1935
37	1168	1906
38	1198	1874
39	1229	1843
40	1235	1778
41	1266	1748
42	1280	1696
43	1287	1638
44	1316	1608
45	1347	1581
46	1382	1558
47	1413	1530
48	1421	1479
49	1452	1452
50	1469	1412
51	1503	1388
52	1537	1363
53	1575	1342
54	1613	1320
55	1627	1279
56	1659	1251
57	1690	1223
58	1725	1198
59	1759	1172
60	1791	1145
61	1820	1115
62	1850	1086
63	1866	1050
64	1901	1023
65	1938	998
66	1953	962
67	1984	934
68	2016	905
69	2020	865
70	2051	838
71	2081	809
72	2113	781
73	2146	754
74	2181	727
75	2215	699
76	2223	664
77	2261	637
78	2299	611
79	2335	583
80	2340	549
81	2374	521
82	2410	493
83	2447	466
84	2478	437
85	2509	408
86	2538	379
87	2551	347
88	2555	315
89	2584	287
90	2613	258
91	2642	229
92	2645	199
93	2673	170
94	2700	142
95	2729	113
96	2743	84
97	2745	56
98	2775	28
99	2807	0
