Timestamp_Press,Timestamp_Release,Key Stroke,Application,Hold Time
2025-03-09 00:02:05.546886,2025-03-09 00:02:05.653286,'t',Windows PowerShell,0:00:00.106400
2025-03-09 00:02:05.695403,2025-03-09 00:02:05.836595,'h',Windows PowerShell,0:00:00.141192
2025-03-09 00:02:05.886769,2025-03-09 00:02:06.010205,'e',Windows PowerShell,0:00:00.123436
2025-03-09 00:02:06.085863,2025-03-09 00:02:06.250825,Key.space,Windows PowerShell,0:00:00.164962
2025-03-09 00:02:06.505737,2025-03-09 00:02:06.657831,'q',Windows PowerShell,0:00:00.152094
2025-03-09 00:02:06.905523,2025-03-09 00:02:06.985591,'u',Windows PowerShell,0:00:00.080068
2025-03-09 00:02:07.144495,2025-03-09 00:02:07.259766,'i',Windows PowerShell,0:00:00.115271
2025-03-09 00:02:07.590170,2025-03-09 00:02:07.721655,'c',Windows PowerShell,0:00:00.131485
2025-03-09 00:02:07.778582,2025-03-09 00:02:07.898823,'k',Windows PowerShell,0:00:00.120241
2025-03-09 00:02:08.330758,2025-03-09 00:02:08.500967,Key.space,Windows PowerShell,0:00:00.170209
2025-03-09 00:02:08.755924,2025-03-09 00:02:08.863254,'b',Windows PowerShell,0:00:00.107330
2025-03-09 00:02:09.058768,2025-03-09 00:02:09.153121,'r',Windows PowerShell,0:00:00.094353
2025-03-09 00:02:09.270197,2025-03-09 00:02:09.406505,'o',Windows PowerShell,0:00:00.136308
2025-03-09 00:02:09.518538,2025-03-09 00:02:09.684521,'w',Windows PowerShell,0:00:00.165983
2025-03-09 00:02:09.804973,2025-03-09 00:02:09.908155,'n',Windows PowerShell,0:00:00.103182
2025-03-09 00:02:10.066167,2025-03-09 00:02:10.180428,Key.space,Windows PowerShell,0:00:00.114261
2025-03-09 00:02:11.141662,2025-03-09 00:02:11.286748,'f',Windows PowerShell,0:00:00.145086
2025-03-09 00:02:11.332722,2025-03-09 00:02:11.447550,'o',Windows PowerShell,0:00:00.114828
2025-03-09 00:02:11.684397,2025-03-09 00:02:11.794764,'x',Windows PowerShell,0:00:00.110367
