Timestamp_Press,Timestamp_Release,Key Stroke,Application,Hold Time
2025-03-08 23:12:38.078620,2025-03-08 23:12:38.212794,Key.caps_lock,fixedText.py - ProfilerX - Visual Studio Code,0:00:00.134174
2025-03-08 23:12:38.244200,2025-03-08 23:12:38.368758,'t',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.124558
2025-03-08 23:12:38.383271,2025-03-08 23:12:38.462709,Key.caps_lock,fixedText.py - ProfilerX - Visual Studio Code,0:00:00.079438
2025-03-08 23:12:38.541928,2025-03-08 23:12:38.650340,'h',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.108412
2025-03-08 23:12:38.776949,2025-03-08 23:12:38.871021,'e',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.094072
2025-03-08 23:12:38.965995,2025-03-08 23:12:39.041970,Key.space,fixedText.py - ProfilerX - Visual Studio Code,0:00:00.075975
2025-03-08 23:12:39.446764,2025-03-08 23:12:39.531810,'q',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.085046
2025-03-08 23:12:39.739030,2025-03-08 23:12:39.927751,'u',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.188721
2025-03-08 23:12:39.835199,2025-03-08 23:12:39.983451,'i',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.148252
2025-03-08 23:12:40.273016,2025-03-08 23:12:40.368432,'c',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.095416
2025-03-08 23:12:40.416106,2025-03-08 23:12:40.549568,'k',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.133462
2025-03-08 23:12:40.725998,2025-03-08 23:12:40.834035,Key.space,fixedText.py - ProfilerX - Visual Studio Code,0:00:00.108037
2025-03-08 23:12:41.262929,2025-03-08 23:12:41.351507,'b',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.088578
2025-03-08 23:12:41.447902,2025-03-08 23:12:41.519755,'r',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.071853
2025-03-08 23:12:41.598172,2025-03-08 23:12:41.706567,'o',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.108395
2025-03-08 23:12:41.748193,2025-03-08 23:12:41.834138,'w',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.085945
2025-03-08 23:12:41.864919,2025-03-08 23:12:41.967965,'n',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.103046
2025-03-08 23:12:42.094617,2025-03-08 23:12:42.200464,Key.space,fixedText.py - ProfilerX - Visual Studio Code,0:00:00.105847
2025-03-08 23:12:42.682541,2025-03-08 23:12:42.765721,'f',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.083180
2025-03-08 23:12:42.772566,2025-03-08 23:12:42.851312,'o',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.078746
2025-03-08 23:12:42.946387,2025-03-08 23:12:43.044079,'r',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.097692
2025-03-08 23:12:43.432743,2025-03-08 23:12:43.518817,Key.backspace,fixedText.py - ProfilerX - Visual Studio Code,0:00:00.086074
2025-03-08 23:12:44.002769,2025-03-08 23:12:44.101566,'x',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.098797
2025-03-08 23:12:44.555039,2025-03-08 23:12:44.657797,Key.space,fixedText.py - ProfilerX - Visual Studio Code,0:00:00.102758
2025-03-08 23:12:45.227958,2025-03-08 23:12:45.319233,'j',fixedText.py - ProfilerX - Visual Studio Code,0:00:00.091275
