Timestamp_Press,Timestamp_Release,Key Stroke,Application,Hold Time
2025-02-01 16:15:21.090716,2025-02-01 16:15:22.035737,Key.down,Dropbox Folders - DACS4206 Sec Monitor & Incident Res-5 - UDST - Google Chrome,0:00:00.945021
2025-02-01 16:15:24.484862,2025-02-01 16:15:24.870960,Key.up,Dropbox Folders - DACS4206 Sec Monitor & Incident Res-5 - UDST - Google Chrome,0:00:00.386098
2025-02-01 16:15:25.395450,2025-02-01 16:15:26.333545,Key.up,Dropbox Folders - DACS4206 Sec Monitor & Incident Res-5 - UDST - Google Chrome,0:00:00.938095
2025-02-01 16:15:35.606507,2025-02-01 16:15:35.867697,Key.down,Dropbox Folders - DACS4205 Digital Forensics-2 - UDST - Google Chrome,0:00:00.261190
2025-02-01 16:15:36.504554,2025-02-01 16:15:37.513749,Key.down,Dropbox Folders - DACS4205 Digital Forensics-2 - UDST - Google Chrome,0:00:01.009195
2025-02-01 16:15:38.794907,2025-02-01 16:15:39.629944,Key.up,Dropbox Folders - DACS4205 Digital Forensics-2 - UDST - Google Chrome,0:00:00.835037
2025-02-01 16:17:20.725821,2025-02-01 16:17:20.924657,Key.right,Microsoft Office Activation Wizard,0:00:00.198836
2025-02-01 16:17:43.255838,2025-02-01 16:17:43.384927,'m',New Tab - Google Chrome,0:00:00.129089
2025-02-01 16:17:43.602361,2025-02-01 16:17:43.733960,'y',New Tab - Google Chrome,0:00:00.131599
2025-02-01 16:17:44.329373,2025-02-01 16:17:44.456415,Key.enter,New Tab - Google Chrome,0:00:00.127042
2025-02-01 16:17:57.307481,2025-02-01 16:17:57.418318,'6',VMware Horizon - Google Chrome,0:00:00.110837
2025-02-01 16:17:57.509457,2025-02-01 16:17:57.606059,'6',VMware Horizon - Google Chrome,0:00:00.096602
2025-02-01 16:17:57.895132,2025-02-01 16:17:58.019731,'4',VMware Horizon - Google Chrome,0:00:00.124599
2025-02-01 16:17:58.083262,2025-02-01 16:17:58.221458,'4',VMware Horizon - Google Chrome,0:00:00.138196
2025-02-01 16:17:58.247890,2025-02-01 16:17:58.380105,'1',VMware Horizon - Google Chrome,0:00:00.132215
2025-02-01 16:17:58.537043,2025-02-01 16:17:58.651665,'2',VMware Horizon - Google Chrome,0:00:00.114622
2025-02-01 16:17:58.733472,2025-02-01 16:17:58.775387,'3',VMware Horizon - Google Chrome,0:00:00.041915
2025-02-01 16:17:58.939423,2025-02-01 16:17:59.054111,'4',VMware Horizon - Google Chrome,0:00:00.114688
2025-02-01 16:17:59.380427,2025-02-01 16:17:59.471862,'a',VMware Horizon - Google Chrome,0:00:00.091435
2025-02-01 16:17:59.588303,2025-02-01 16:17:59.738289,Key.caps_lock,VMware Horizon - Google Chrome,0:00:00.149986
2025-02-01 16:17:59.832938,2025-02-01 16:17:59.926814,'a',VMware Horizon - Google Chrome,0:00:00.093876
2025-02-01 16:17:59.986682,2025-02-01 16:18:00.088792,Key.caps_lock,VMware Horizon - Google Chrome,0:00:00.102110
2025-02-01 16:18:00.560401,2025-02-01 16:18:00.687206,'@',VMware Horizon - Google Chrome,0:00:00.126805
2025-02-01 16:18:00.258657,2025-02-01 16:18:00.688509,Key.shift,VMware Horizon - Google Chrome,0:00:00.429852
2025-02-01 16:18:15.212520,2025-02-01 16:18:15.363085,Key.caps_lock,VMware Horizon - Google Chrome,0:00:00.150565
2025-02-01 16:18:15.875437,2025-02-01 16:18:16.016434,'d',VMware Horizon - Google Chrome,0:00:00.140997
2025-02-01 16:18:16.153476,2025-02-01 16:18:16.327877,'a',VMware Horizon - Google Chrome,0:00:00.174401
2025-02-01 16:18:16.836278,2025-02-01 16:18:16.963825,'c',VMware Horizon - Google Chrome,0:00:00.127547
2025-02-01 16:18:17.105064,2025-02-01 16:18:17.266542,'s',VMware Horizon - Google Chrome,0:00:00.161478
2025-02-01 16:18:17.582442,2025-02-01 16:18:17.743505,Key.caps_lock,VMware Horizon - Google Chrome,0:00:00.161063
2025-02-01 16:18:18.724760,2025-02-01 16:18:18.900972,'@',VMware Horizon - Google Chrome,0:00:00.176212
2025-02-01 16:18:18.344675,2025-02-01 16:18:18.926163,Key.shift,VMware Horizon - Google Chrome,0:00:00.581488
2025-02-01 16:18:19.466079,2025-02-01 16:18:19.581359,'3',VMware Horizon - Google Chrome,0:00:00.115280
2025-02-01 16:18:19.788281,2025-02-01 16:18:19.955447,'2',VMware Horizon - Google Chrome,0:00:00.167166
2025-02-01 16:18:20.612754,2025-02-01 16:18:20.765749,'0',VMware Horizon - Google Chrome,0:00:00.152995
2025-02-01 16:18:21.399543,2025-02-01 16:18:21.519444,'3',VMware Horizon - Google Chrome,0:00:00.119901
2025-02-01 16:18:21.984916,2025-02-01 16:18:22.066515,'p',VMware Horizon - Google Chrome,0:00:00.081599
2025-02-01 16:18:22.249544,2025-02-01 16:18:22.403227,'a',VMware Horizon - Google Chrome,0:00:00.153683
2025-02-01 16:18:22.959922,2025-02-01 16:18:23.108992,'s',VMware Horizon - Google Chrome,0:00:00.149070
2025-02-01 16:18:23.202867,2025-02-01 16:18:23.336050,'s',VMware Horizon - Google Chrome,0:00:00.133183
2025-02-01 16:18:23.512608,2025-02-01 16:18:23.584750,Key.enter,VMware Horizon - Google Chrome,0:00:00.072142
2025-02-01 16:23:39.266854,2025-02-01 16:23:39.450149,Key.backspace,VMware Horizon - Google Chrome,0:00:00.183295
2025-02-01 16:23:44.669741,2025-02-01 16:23:44.807301,Key.backspace,VMware Horizon - Google Chrome,0:00:00.137560
2025-02-01 16:24:08.736250,2025-02-01 16:24:11.789509,Key.left,VMware Horizon - Google Chrome,0:00:03.053259
2025-02-01 16:24:12.209288,2025-02-01 16:24:12.418235,Key.left,VMware Horizon - Google Chrome,0:00:00.208947
2025-02-01 16:24:13.211242,2025-02-01 16:24:13.398759,Key.right,VMware Horizon - Google Chrome,0:00:00.187517
2025-02-01 16:24:14.712033,2025-02-01 16:24:15.413205,Key.right,VMware Horizon - Google Chrome,0:00:00.701172
2025-02-01 16:24:15.915622,2025-02-01 16:24:16.046286,Key.left,VMware Horizon - Google Chrome,0:00:00.130664
2025-02-01 16:24:16.149695,2025-02-01 16:24:16.260471,Key.left,VMware Horizon - Google Chrome,0:00:00.110776
2025-02-01 16:24:16.515158,2025-02-01 16:24:16.643518,Key.left,VMware Horizon - Google Chrome,0:00:00.128360
2025-02-01 16:24:16.729285,2025-02-01 16:24:16.832814,Key.left,VMware Horizon - Google Chrome,0:00:00.103529
