Timestamp_Press,Timestamp_Release,Key Stroke,Application,Hold Time
2025-03-28 23:59:59.775296,2025-03-29 00:00:00.461633,'w',VALORANT  ,0:00:00.686337
2025-03-29 00:00:00.283535,2025-03-29 00:00:00.690794,'d',VALORANT  ,0:00:00.407259
2025-03-29 00:01:46.066210,2025-03-29 00:01:47.912226,'2',VALORANT  ,0:00:01.846016
2025-03-29 00:01:55.928028,2025-03-29 00:01:56.965056,'2',VALORANT  ,0:00:01.037028
2025-03-29 00:02:19.917073,2025-03-29 00:02:25.239528,'2',VALORANT  ,0:00:05.322455
2025-03-29 00:02:46.111833,2025-03-29 00:02:46.660461,'2',VALORANT  ,0:00:00.548628
2025-03-29 00:02:50.201917,2025-03-29 00:02:58.020090,'2',VALORANT  ,0:00:07.818173
2025-03-29 00:03:38.218820,2025-03-29 00:03:42.018166,'2',VALORANT  ,0:00:03.799346
2025-03-29 00:05:36.092875,2025-03-29 00:05:43.993599,'2',VALORANT  ,0:00:07.900724
2025-03-29 00:06:16.581302,2025-03-29 00:06:17.837728,'2',VALORANT  ,0:00:01.256426
2025-03-29 00:07:05.750284,2025-03-29 00:07:05.923097,'d',VALORANT  ,0:00:00.172813
2025-03-29 00:07:06.199830,2025-03-29 00:07:06.381501,'a',VALORANT  ,0:00:00.181671
2025-03-29 00:07:05.143512,2025-03-29 00:07:07.624149,'w',VALORANT  ,0:00:02.480637
2025-03-29 00:07:08.031632,2025-03-29 00:07:08.681021,'w',VALORANT  ,0:00:00.649389
2025-03-29 00:07:07.064043,2025-03-29 00:07:09.158258,'d',VALORANT  ,0:00:02.094215
2025-03-29 00:07:09.774197,2025-03-29 00:07:09.911191,'d',VALORANT  ,0:00:00.136994
2025-03-29 00:07:08.978270,2025-03-29 00:07:10.771302,'w',VALORANT  ,0:00:01.793032
2025-03-29 00:07:10.075299,2025-03-29 00:07:11.169327,'d',VALORANT  ,0:00:01.094028
2025-03-29 00:07:13.126505,2025-03-29 00:07:13.311366,'e',VALORANT  ,0:00:00.184861
2025-03-29 00:07:13.469438,2025-03-29 00:07:13.766796,'a',VALORANT  ,0:00:00.297358
2025-03-29 00:07:14.626873,2025-03-29 00:07:14.788142,'a',VALORANT  ,0:00:00.161269
2025-03-29 00:07:14.890815,2025-03-29 00:07:15.019512,'a',VALORANT  ,0:00:00.128697
2025-03-29 00:07:15.134137,2025-03-29 00:07:15.254963,'a',VALORANT  ,0:00:00.120826
2025-03-29 00:07:15.629377,2025-03-29 00:07:15.833487,'a',VALORANT  ,0:00:00.204110
2025-03-29 00:07:16.666487,2025-03-29 00:07:16.857376,Key.space,VALORANT  ,0:00:00.190889
2025-03-29 00:07:16.955966,2025-03-29 00:07:17.135433,'a',VALORANT  ,0:00:00.179467
2025-03-29 00:07:17.354924,2025-03-29 00:07:17.635000,Key.space,VALORANT  ,0:00:00.280076
2025-03-29 00:07:17.521830,2025-03-29 00:07:17.801922,'d',VALORANT  ,0:00:00.280092
2025-03-29 00:07:18.251664,2025-03-29 00:07:18.426672,Key.space,VALORANT  ,0:00:00.175008
2025-03-29 00:07:18.881758,2025-03-29 00:07:19.038626,'e',VALORANT  ,0:00:00.156868
2025-03-29 00:07:20.069238,2025-03-29 00:07:20.236061,'d',VALORANT  ,0:00:00.166823
2025-03-29 00:07:20.357871,2025-03-29 00:07:20.496875,'d',VALORANT  ,0:00:00.139004
2025-03-29 00:07:20.595839,2025-03-29 00:07:20.758227,'d',VALORANT  ,0:00:00.162388
2025-03-29 00:07:20.913248,2025-03-29 00:07:21.335261,'d',VALORANT  ,0:00:00.422013
2025-03-29 00:07:21.275273,2025-03-29 00:07:21.518384,'a',VALORANT  ,0:00:00.243111
2025-03-29 00:07:11.027409,2025-03-29 00:07:21.745822,'w',VALORANT  ,0:00:10.718413
2025-03-29 00:07:21.508825,2025-03-29 00:07:22.134163,'d',VALORANT  ,0:00:00.625338
2025-03-29 00:07:23.267959,2025-03-29 00:07:23.465047,'a',VALORANT  ,0:00:00.197088
2025-03-29 00:07:22.250338,2025-03-29 00:07:23.664262,'s',VALORANT  ,0:00:01.413924
2025-03-29 00:07:23.601414,2025-03-29 00:07:23.961125,'d',VALORANT  ,0:00:00.359711
2025-03-29 00:07:24.075270,2025-03-29 00:07:25.204072,'w',VALORANT  ,0:00:01.128802
2025-03-29 00:07:24.953886,2025-03-29 00:07:25.530388,'a',VALORANT  ,0:00:00.576502
2025-03-29 00:07:25.460018,2025-03-29 00:07:25.762129,'w',VALORANT  ,0:00:00.302111
2025-03-29 00:07:25.655062,2025-03-29 00:07:26.014084,'d',VALORANT  ,0:00:00.359022
2025-03-29 00:07:26.707352,2025-03-29 00:07:26.930761,'w',VALORANT  ,0:00:00.223409
2025-03-29 00:07:26.763181,2025-03-29 00:07:27.031937,'d',VALORANT  ,0:00:00.268756
2025-03-29 00:07:27.214267,2025-03-29 00:07:27.462231,'s',VALORANT  ,0:00:00.247964
2025-03-29 00:07:27.327859,2025-03-29 00:07:27.475305,'a',VALORANT  ,0:00:00.147446
2025-03-29 00:07:27.410447,2025-03-29 00:07:27.593195,'d',VALORANT  ,0:00:00.182748
2025-03-29 00:07:27.710149,2025-03-29 00:07:27.939938,'a',VALORANT  ,0:00:00.229789
2025-03-29 00:07:28.926945,2025-03-29 00:07:29.460068,'d',VALORANT  ,0:00:00.533123
2025-03-29 00:07:27.613314,2025-03-29 00:07:29.475663,'w',VALORANT  ,0:00:01.862349
2025-03-29 00:07:30.114220,2025-03-29 00:07:30.244148,'a',VALORANT  ,0:00:00.129928
2025-03-29 00:07:30.115732,2025-03-29 00:07:30.266900,'s',VALORANT  ,0:00:00.151168
2025-03-29 00:07:30.431541,2025-03-29 00:07:30.634260,'d',VALORANT  ,0:00:00.202719
2025-03-29 00:07:30.561170,2025-03-29 00:07:30.825801,'w',VALORANT  ,0:00:00.264631
2025-03-29 00:07:42.792062,2025-03-29 00:07:43.319048,Key.shift,VALORANT  ,0:00:00.526986
2025-03-29 00:07:42.643035,2025-03-29 00:07:43.335192,'w',VALORANT  ,0:00:00.692157
2025-03-29 00:07:42.753351,2025-03-29 00:07:43.380991,'d',VALORANT  ,0:00:00.627640
2025-03-29 00:07:44.141343,2025-03-29 00:07:44.705083,'a',VALORANT  ,0:00:00.563740
2025-03-29 00:07:44.344979,2025-03-29 00:07:47.003084,'w',VALORANT  ,0:00:02.658105
2025-03-29 00:07:51.147452,2025-03-29 00:07:51.570547,'d',VALORANT  ,0:00:00.423095
2025-03-29 00:07:51.782831,2025-03-29 00:07:52.230039,Key.shift,VALORANT  ,0:00:00.447208
2025-03-29 00:07:52.423738,2025-03-29 00:07:52.740879,Key.ctrl_l,VALORANT  ,0:00:00.317141
2025-03-29 00:07:53.148513,2025-03-29 00:07:53.346986,'s',VALORANT  ,0:00:00.198473
2025-03-29 00:07:53.348983,2025-03-29 00:07:53.566853,'d',VALORANT  ,0:00:00.217870
2025-03-29 00:07:53.779002,2025-03-29 00:07:53.962036,Key.space,VALORANT  ,0:00:00.183034
2025-03-29 00:07:53.483006,2025-03-29 00:07:54.570912,'w',VALORANT  ,0:00:01.087906
2025-03-29 00:07:54.050622,2025-03-29 00:07:54.961170,'d',VALORANT  ,0:00:00.910548
2025-03-29 00:07:54.713403,2025-03-29 00:07:54.993907,'s',VALORANT  ,0:00:00.280504
2025-03-29 00:07:54.869182,2025-03-29 00:07:55.032234,'a',VALORANT  ,0:00:00.163052
2025-03-28 23:59:32.303590,2025-03-29 00:07:55.416782,'W',VALORANT  ,0:08:23.113192
2025-03-29 00:07:55.298270,2025-03-29 00:07:55.583255,Key.shift,VALORANT  ,0:00:00.284985
2025-03-29 00:07:56.573087,2025-03-29 00:07:57.173260,'\x04',VALORANT  ,0:00:00.600173
2025-03-29 00:07:57.469827,2025-03-29 00:07:58.185155,'\x13',VALORANT  ,0:00:00.715328
2025-03-29 00:07:58.355103,2025-03-29 00:07:58.619624,'\x13',VALORANT  ,0:00:00.264521
2025-03-29 00:07:55.988492,2025-03-29 00:07:59.531567,Key.ctrl_l,VALORANT  ,0:00:03.543075
2025-03-29 00:08:00.300581,2025-03-29 00:08:00.431490,'r',VALORANT  ,0:00:00.130909
2025-03-29 00:07:59.576755,2025-03-29 00:08:00.675969,'a',VALORANT  ,0:00:01.099214
2025-03-29 00:07:55.143503,2025-03-29 00:08:01.115033,'w',VALORANT  ,0:00:05.971530
2025-03-29 00:08:00.925921,2025-03-29 00:08:01.339607,'a',VALORANT  ,0:00:00.413686
2025-03-29 00:08:01.505659,2025-03-29 00:08:02.901259,Key.ctrl_l,VALORANT  ,0:00:01.395600
2025-03-29 00:07:55.204920,2025-03-29 00:08:04.010465,'d',VALORANT  ,0:00:08.805545
2025-03-29 00:08:04.253974,2025-03-29 00:08:06.481683,'d',VALORANT  ,0:00:02.227709
2025-03-29 00:08:06.158449,2025-03-29 00:08:08.323999,'w',VALORANT  ,0:00:02.165550
2025-03-29 00:08:07.377097,2025-03-29 00:08:08.781323,'d',VALORANT  ,0:00:01.404226
2025-03-29 00:08:09.490382,2025-03-29 00:08:09.643208,'a',VALORANT  ,0:00:00.152826
2025-03-29 00:08:10.686908,2025-03-29 00:08:12.805132,Key.ctrl_l,VALORANT  ,0:00:02.118224
2025-03-29 00:08:13.210480,2025-03-29 00:08:14.094280,'w',VALORANT  ,0:00:00.883800
