Timestamp_Press,Timestamp_Release,Key Stroke,Application,Hold Time
2025-03-08 12:48:31.177732,2025-03-08 12:48:31.277428,'t',Save As,0:00:00.099696
2025-03-08 12:48:34.390356,2025-03-08 12:48:34.515500,Key.enter,Save As,0:00:00.125144
2025-03-08 12:48:37.151945,2025-03-08 12:48:37.422579,Key.shift,*IDLE Shell 3.12.0*,0:00:00.270634
2025-03-08 12:48:37.477718,2025-03-08 12:48:37.578238,'h',*IDLE Shell 3.12.0*,0:00:00.100520
2025-03-08 12:48:37.597225,2025-03-08 12:48:37.702908,'e',*IDLE Shell 3.12.0*,0:00:00.105683
2025-03-08 12:48:37.707383,2025-03-08 12:48:37.813933,Key.space,*IDLE Shell 3.12.0*,0:00:00.106550
2025-03-08 12:48:38.063517,2025-03-08 12:48:38.177881,'q',*IDLE Shell 3.12.0*,0:00:00.114364
2025-03-08 12:48:38.183048,2025-03-08 12:48:38.293608,'u',*IDLE Shell 3.12.0*,0:00:00.110560
2025-03-08 12:48:38.383898,2025-03-08 12:48:38.513587,'x',*IDLE Shell 3.12.0*,0:00:00.129689
2025-03-08 12:48:38.518531,2025-03-08 12:48:38.623571,'i',*IDLE Shell 3.12.0*,0:00:00.105040
2025-03-08 12:48:38.769756,2025-03-08 12:48:38.844324,Key.backspace,*IDLE Shell 3.12.0*,0:00:00.074568
2025-03-08 12:48:38.908849,2025-03-08 12:48:38.993643,Key.backspace,*IDLE Shell 3.12.0*,0:00:00.084794
2025-03-08 12:48:39.109023,2025-03-08 12:48:39.234378,'i',*IDLE Shell 3.12.0*,0:00:00.125355
2025-03-08 12:48:39.274634,2025-03-08 12:48:39.373703,'c',*IDLE Shell 3.12.0*,0:00:00.099069
2025-03-08 12:48:39.404594,2025-03-08 12:48:39.498756,'k',*IDLE Shell 3.12.0*,0:00:00.094162
2025-03-08 12:48:39.533697,2025-03-08 12:48:39.648942,Key.space,*IDLE Shell 3.12.0*,0:00:00.115245
2025-03-08 12:48:39.820083,2025-03-08 12:48:39.929462,'b',*IDLE Shell 3.12.0*,0:00:00.109379
2025-03-08 12:48:39.954596,2025-03-08 12:48:40.039713,'r',*IDLE Shell 3.12.0*,0:00:00.085117
2025-03-08 12:48:40.059585,2025-03-08 12:48:40.174305,'o',*IDLE Shell 3.12.0*,0:00:00.114720
2025-03-08 12:48:40.219574,2025-03-08 12:48:40.320091,'w',*IDLE Shell 3.12.0*,0:00:00.100517
2025-03-08 12:48:40.384820,2025-03-08 12:48:40.505425,'n',*IDLE Shell 3.12.0*,0:00:00.120605
2025-03-08 12:48:40.560172,2025-03-08 12:48:40.680072,Key.space,*IDLE Shell 3.12.0*,0:00:00.119900
2025-03-08 12:48:40.846361,2025-03-08 12:48:40.965500,'f',*IDLE Shell 3.12.0*,0:00:00.119139
2025-03-08 12:48:41.065208,2025-03-08 12:48:41.164801,'o',*IDLE Shell 3.12.0*,0:00:00.099593
