PPD_0,PPD_1,PPD_2,PPD_3,PPD_4,RRD_0,RRD_1,RRD_2,RRD_3,RRD_4,RPD_0,RPD_1,RPD_2,RPD_3,RPD_4,PRD_0,PRD_1,PRD_2,PRD_3,PRD_4,Hold_Time_0,Hold_Time_1,Hold_Time_2,Hold_Time_3,Hold_Time_4,PPD_Sum,RRD_Sum,RPD_Sum,PRD_Sum,Typing_Speed_Avg,Typing_Speed_Max,Typing_Speed_Min,HT_Sum,Hold_Time_Avg,Hold_Time_Std,Key_Type_1,Key_Type_2,Key_Type_3,Key_Type_4,Key_Type_5,Key_Section_1,Key_Section_2,Key_Section_3,Key_Section_4,Key_Section_5,label
0.0,0.93743,0.311536,0.256422,0.225998,0.0,0.764942,0.220278,0.230463,0.252617,0,0.587618,0.134212,0.170356,0.165891,0,1.114754,0.397602,0.316529,0.312724,0.349812,0.177324,0.086066,0.060107,0.086726,1.7313859999999999,1.4683,1.058077,2.141609,0.34627719999999995,0.93743,0.0,0.760035,0.152007,0.10660506831853728,7,7.0,7.0,7.0,7.0,1,8.0,8.0,8.0,8.0,1
0.975325,0.231105,0.390343,2.393763,0.614148,0.940423,0.232394,0.452888,2.608813,0.671772,0,0.179281,0.33723,2.278105,0.28344,0,0.284218,0.506001,2.724471,1.00248,0.051824,0.053113,0.115658,0.330708,0.388332,4.604684,4.90629,3.078056,4.51717,0.9209368,2.393763,0.231105,0.939635,0.187927,0.14315741514291183,7,7.0,7.0,7.0,7.0,8,8.0,8.0,1.0,1.0,1
2.28234,1.903491,0.737178,0.755787,0.198791,2.009281,1.949366,0.689947,0.717394,0.199361,0,1.788218,0.57603,0.64187,0.123267,0,2.064639,0.851095,0.831311,0.274885,0.115273,0.161148,0.113917,0.075524,0.076094,5.877587,5.565349,3.129385,4.02193,1.1755174,2.28234,0.198791,0.541956,0.1083912,0.031573835835387504,7,7.0,0.0,7.0,7.0,8,8.0,7.0,8.0,8.0,1
0.171278,0.194585,0.192246,0.207467,0.184591,0.192656,0.180162,0.191883,0.212155,0.212447,0,0.097113,0.109197,0.124781,0.097217,0,0.277634,0.274932,0.294841,0.299821,0.097472,0.083049,0.082686,0.087374,0.11523,0.950167,0.989303,0.428308,1.1472280000000001,0.1900334,0.207467,0.171278,0.465811,0.0931622,0.012256369876925225,7,7.0,7.0,7.0,7.0,8,8.0,8.0,8.0,8.0,1
0.221532,0.206693,0.216603,1.184208,0.804051,0.218081,0.223212,1.038195,0.3786,0.782502,0,0.094914,0.088305,0.234318,0.659769,0,0.334991,1.166493,1.32849,0.926784,0.111779,0.128298,0.94989,0.144282,0.122733,2.6330869999999997,2.64059,1.077306,3.756758,0.5266173999999999,1.184208,0.206693,1.456982,0.2913964,0.32941381540342235,7,7.0,7.0,7.0,7.0,8,8.0,8.0,8.0,8.0,1
0.234074,0.199594,0.190122,0.207212,0.861544,0.17531,0.215792,0.200456,0.197749,0.907016,0,0.135625,0.109955,0.116711,0.780506,0,0.279761,0.280623,0.28825,0.988054,0.063969,0.080167,0.090501,0.081038,0.12651,1.692546,1.696323,1.142797,1.836688,0.3385092,0.861544,0.190122,0.442185,0.088437,0.020859695827120783,7,7.0,7.0,7.0,7.0,8,8.0,8.0,8.0,8.0,1
0.247207,0.220341,1.826425,0.272887,0.466733,0.195009,0.219715,1.907015,0.210438,0.465865,0,0.146029,1.752739,0.118611,0.374906,0,0.294027,1.980701,0.364714,0.557692,0.074312,0.073686,0.154276,0.091827,0.090959,3.0335929999999998,2.998042,2.392285,3.197134,0.6067186,1.826425,0.220341,0.48506000000000005,0.09701200000000001,0.02967180818891899,7,7.0,7.0,7.0,7.0,8,8.0,8.0,8.0,8.0,1
0.755838,1.02512,0.55431,1.624129,0.159168,0.813952,0.960045,0.566578,1.61843,0.169261,0,0.876047,0.470312,1.527863,0.068601,0,1.109118,0.650576,1.714696,0.259828,0.149073,0.083998,0.096266,0.090567,0.10066,4.118565,4.128266,2.942823,3.7342180000000003,0.823713,1.624129,0.159168,0.520564,0.1041128,0.023164660838440956,7,0.0,7.0,7.0,4.0,8,7.0,8.0,1.0,6.0,1
0.029556,0.308014,0.101611,0.153889,0.160002,0.041149,0.319904,0.093538,0.172505,0.135592,0,0.195761,0.022531999999999996,0.037819,0.025316,0,0.432157,0.217681,0.288575,0.270278,0.112253,0.124143,0.11607,0.134686,0.110276,0.753072,0.762688,0.236364,1.208691,0.15061439999999998,0.308014,0.029556,0.5974280000000001,0.11948560000000001,0.008961440656501608,7,4.0,4.0,4.0,4.0,1,3.0,5.0,4.0,3.0,1
1.019366,0.211118,0.670743,0.971758,2.627228,1.002884,0.189195,0.068374,0.304498,2.595379,0,0.117324,0.742614,0.16077,2.4835,0,0.282989,0.140245,1.115486,2.7391069999999997,0.093794,0.071871,0.810988,0.143728,0.111879,4.158727,4.16033,2.01898,4.277826999999999,0.8317454,2.627228,-0.670743,1.2322600000000001,0.24645200000000003,0.28324759427963375,6,6.0,7.0,7.0,7.0,0,0.0,6.0,8.0,8.0,1
