Timestamp_Press,Timestamp_Release,Key Stroke,Application,Hold Time
2025-04-02 05:24:51.945308,2025-04-02 05:24:52.054279,'w',app.py - WebApp - Cursor [Administrator],0:00:00.108971
2025-04-02 05:24:52.070324,2025-04-02 05:24:52.159996,'h',app.py - WebApp - Cursor [Administrator],0:00:00.089672
2025-04-02 05:24:52.174973,2025-04-02 05:24:52.304606,'a',app.py - WebApp - Cursor [Administrator],0:00:00.129633
2025-04-02 05:24:52.380291,2025-04-02 05:24:52.520731,'t',app.py - WebApp - Cursor [Administrator],0:00:00.140440
2025-04-02 05:24:58.005407,2025-04-02 05:24:58.135770,Key.backspace,127.0.0.1:8000/api/1 - My Workspace,0:00:00.130363
2025-04-02 05:24:58.225913,2025-04-02 05:24:58.325608,Key.backspace,127.0.0.1:8000/api/1 - My Workspace,0:00:00.099695
2025-04-02 05:24:58.436158,2025-04-02 05:24:58.530908,Key.backspace,127.0.0.1:8000/api/1 - My Workspace,0:00:00.094750
2025-04-02 05:24:59.296605,2025-04-02 05:24:59.441453,'o',127.0.0.1:8000/api/1 - My Workspace,0:00:00.144848
2025-04-02 05:24:59.411603,2025-04-02 05:24:59.526531,'p',127.0.0.1:8000/api/1 - My Workspace,0:00:00.114928
2025-04-02 05:27:55.228774,2025-04-02 05:27:55.342344,'S',127.0.0.1:8000/api/1 - My Workspace,0:00:00.113570
2025-04-02 05:27:54.959010,2025-04-02 05:27:55.357286,Key.cmd,127.0.0.1:8000/api/1 - My Workspace,0:00:00.398276
2025-04-02 05:27:54.964254,2025-04-02 05:27:55.367287,Key.shift,127.0.0.1:8000/api/1 - My Workspace,0:00:00.403033
2025-04-02 05:28:04.012186,2025-04-02 05:28:04.292306,Key.ctrl_l,Document1 - Word,0:00:00.280120
2025-04-02 05:28:10.743325,2025-04-02 05:28:10.883618,'1',Document1 - Word,0:00:00.140293
2025-04-02 05:28:10.859344,2025-04-02 05:28:10.954261,'2',Document1 - Word,0:00:00.094917
2025-04-02 05:28:11.224380,2025-04-02 05:28:11.274308,'7',Document1 - Word,0:00:00.049928
2025-04-02 05:28:11.584439,2025-04-02 05:28:11.714949,'.',Document1 - Word,0:00:00.130510
2025-04-02 05:28:11.830008,2025-04-02 05:28:11.909913,'0',Document1 - Word,0:00:00.079905
2025-04-02 05:28:12.056500,2025-04-02 05:28:12.145807,'.',Document1 - Word,0:00:00.089307
2025-04-02 05:28:12.271234,2025-04-02 05:28:12.355902,'0',Document1 - Word,0:00:00.084668
2025-04-02 05:28:12.515833,2025-04-02 05:28:12.625586,'.',Document1 - Word,0:00:00.109753
2025-04-02 05:28:12.771369,2025-04-02 05:28:12.876194,'1',Document1 - Word,0:00:00.104825
2025-04-02 05:28:13.170974,2025-04-02 05:28:13.511425,Key.shift,Document1 - Word,0:00:00.340451
2025-04-02 05:28:13.856716,2025-04-02 05:28:13.946507,'5',Document1 - Word,0:00:00.089791
2025-04-02 05:28:13.927144,2025-04-02 05:28:14.008000,'0',Document1 - Word,0:00:00.080856
2025-04-02 05:28:14.092163,2025-04-02 05:28:14.161859,'0',Document1 - Word,0:00:00.069696
2025-04-02 05:28:14.227408,2025-04-02 05:28:14.273860,'0',Document1 - Word,0:00:00.046452
2025-04-02 05:28:14.642591,2025-04-02 05:28:14.772990,'/',Document1 - Word,0:00:00.130399
2025-04-02 05:28:14.903442,2025-04-02 05:28:15.013969,'a',Document1 - Word,0:00:00.110527
2025-04-02 05:28:15.054047,2025-04-02 05:28:15.163709,'p',Document1 - Word,0:00:00.109662
2025-04-02 05:28:15.268476,2025-04-02 05:28:15.388159,'i',Document1 - Word,0:00:00.119683
2025-04-02 05:28:15.643866,2025-04-02 05:28:15.788735,'/',Document1 - Word,0:00:00.144869
2025-04-02 05:28:15.977267,2025-04-02 05:28:16.099254,'l',Document1 - Word,0:00:00.121987
2025-04-02 05:28:16.129314,2025-04-02 05:28:16.264249,'e',Document1 - Word,0:00:00.134935
2025-04-02 05:28:16.359765,2025-04-02 05:28:16.459923,'y',Document1 - Word,0:00:00.100158
2025-04-02 05:28:16.675211,2025-04-02 05:28:16.739357,Key.backspace,Document1 - Word,0:00:00.064146
2025-04-02 05:28:16.825297,2025-04-02 05:28:16.900515,Key.backspace,Document1 - Word,0:00:00.075218
2025-04-02 05:28:17.345747,2025-04-02 05:28:17.416071,Key.backspace,Document1 - Word,0:00:00.070324
2025-04-02 05:28:17.565473,2025-04-02 05:28:17.652218,'k',Document1 - Word,0:00:00.086745
2025-04-02 05:28:17.681532,2025-04-02 05:28:17.806204,'e',Document1 - Word,0:00:00.124672
2025-04-02 05:28:17.841614,2025-04-02 05:28:17.941535,'y',Document1 - Word,0:00:00.099921
2025-04-02 05:28:17.950540,2025-04-02 05:28:18.052410,'s',Document1 - Word,0:00:00.101870
2025-04-02 05:28:18.196703,2025-04-02 05:28:18.326231,'t',Document1 - Word,0:00:00.129528
2025-04-02 05:28:18.872803,2025-04-02 05:28:18.989611,'r',Document1 - Word,0:00:00.116808
2025-04-02 05:28:19.013191,2025-04-02 05:28:19.123172,'o',Document1 - Word,0:00:00.109981
2025-04-02 05:28:19.152396,2025-04-02 05:28:19.282893,'k',Document1 - Word,0:00:00.130497
2025-04-02 05:28:19.257520,2025-04-02 05:28:19.372638,'e',Document1 - Word,0:00:00.115118
