Timestamp_Press,Timestamp_Release,Key Stroke,Application,Hold Time
2025-04-02 17:37:12.150080,2025-04-02 17:37:12.165092,'m',app.py - WebApp - Cursor [Administrator],0:00:00.015012
2025-04-02 17:37:12.230963,2025-04-02 17:37:12.261260,'m',app.py - WebApp - Cursor [Administrator],0:00:00.030297
2025-04-02 17:37:12.285720,2025-04-02 17:37:12.306174,'m',app.py - WebApp - Cursor [Administrator],0:00:00.020454
2025-04-02 17:37:12.236543,2025-04-02 17:37:12.450168,'n',app.py - WebApp - Cursor [Administrator],0:00:00.213625
2025-04-02 17:37:12.549806,2025-04-02 17:37:12.650880,'f',app.py - WebApp - Cursor [Administrator],0:00:00.101074
2025-04-02 17:37:12.545665,2025-04-02 17:37:12.740784,'s',app.py - WebApp - Cursor [Administrator],0:00:00.195119
2025-04-02 17:37:12.681039,2025-04-02 17:37:12.757780,'f',app.py - WebApp - Cursor [Administrator],0:00:00.076741
2025-04-02 17:37:12.555732,2025-04-02 17:37:12.774779,'d',app.py - WebApp - Cursor [Administrator],0:00:00.219047
2025-04-02 17:37:15.678825,2025-04-02 17:37:15.845975,Key.alt_l,app.py - WebApp - Cursor [Administrator],0:00:00.167150
2025-04-02 17:37:15.786239,2025-04-02 17:37:15.912465,Key.tab,app.py - WebApp - Cursor [Administrator],0:00:00.126226
2025-04-02 17:37:21.415613,2025-04-02 17:37:21.539323,'o',127.0.0.1:5000/api/keystroke/upload/fixed-text/Fazil - My Workspace,0:00:00.123710
2025-04-02 17:37:21.505247,2025-04-02 17:37:21.614935,'p',127.0.0.1:5000/api/keystroke/upload/fixed-text/Fazil - My Workspace,0:00:00.109688
2025-04-02 17:37:25.461519,2025-04-02 17:37:25.621856,'\x1a',127.0.0.1:5000/api/keystroke/upload/fixed-text/Fazil - My Workspace,0:00:00.160337
2025-04-02 17:37:25.201315,2025-04-02 17:37:25.896626,Key.ctrl_l,127.0.0.1:5000/api/keystroke/upload/fixed-text/Fazil - My Workspace,0:00:00.695311
2025-04-02 17:37:27.002894,2025-04-02 17:37:27.137878,'S',127.0.0.1:5000/api/keystroke/upload/fixed-text/Fazil - My Workspace,0:00:00.134984
2025-04-02 17:37:26.828061,2025-04-02 17:37:27.152839,Key.cmd,127.0.0.1:5000/api/keystroke/upload/fixed-text/Fazil - My Workspace,0:00:00.324778
2025-04-02 17:37:26.882420,2025-04-02 17:37:27.166311,Key.shift,127.0.0.1:5000/api/keystroke/upload/fixed-text/Fazil - My Workspace,0:00:00.283891
2025-04-02 17:37:51.055189,2025-04-02 17:37:51.190175,Key.alt_l,127.0.0.1:5000/api/keystroke/upload/fixed-text/Fazil - My Workspace,0:00:00.134986
2025-04-02 17:37:51.120187,2025-04-02 17:37:51.250900,Key.tab,127.0.0.1:5000/api/keystroke/upload/fixed-text/Fazil - My Workspace,0:00:00.130713
2025-04-02 17:37:51.695233,2025-04-02 17:37:51.790250,Key.alt_l,app.py - WebApp - Cursor [Administrator],0:00:00.095017
2025-04-02 17:37:51.735421,2025-04-02 17:37:51.848371,Key.tab,app.py - WebApp - Cursor [Administrator],0:00:00.112950
2025-04-02 17:37:59.785382,2025-04-02 17:37:59.940178,Key.tab,127.0.0.1:5000/api/keystroke/upload/fixed-text/Fazil - My Workspace,0:00:00.154796
