Timestamp_Press,Timestamp_Release,Key Stroke,Application,Hold Time
2025-04-05 15:24:13.175026,2025-04-05 15:24:13.324264,'\x03',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.149238
2025-04-05 15:24:13.014454,2025-04-05 15:24:13.364936,Key.ctrl_l,127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.350482
2025-04-05 15:24:13.940705,2025-04-05 15:24:14.060406,'\x16',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.119701
2025-04-05 15:24:13.764560,2025-04-05 15:24:14.079708,Key.ctrl_l,127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.315148
2025-04-05 15:24:15.710939,2025-04-05 15:24:16.336050,Key.shift,127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.625111
2025-04-05 15:24:16.565702,2025-04-05 15:24:16.680955,'a',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.115253
2025-04-05 15:24:16.701439,2025-04-05 15:24:16.816185,'b',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.114746
2025-04-05 15:24:16.836202,2025-04-05 15:24:16.932671,'c',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.096469
2025-04-05 15:24:17.046691,2025-04-05 15:24:17.216240,'d',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.169549
2025-04-05 15:24:17.227160,2025-04-05 15:24:17.296723,'e',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.069563
2025-04-05 15:24:17.546864,2025-04-05 15:24:17.666953,'f',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.120089
2025-04-05 15:24:17.674998,2025-04-05 15:24:17.797153,'g',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.122155
2025-04-05 15:24:17.892862,2025-04-05 15:24:17.981574,'h',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.088712
2025-04-05 15:24:18.102474,2025-04-05 15:24:18.207554,'i',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.105080
2025-04-05 15:24:18.237608,2025-04-05 15:24:18.347472,'j',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.109864
2025-04-05 15:24:18.422497,2025-04-05 15:24:18.532156,'k',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.109659
2025-04-05 15:24:18.616823,2025-04-05 15:24:18.702275,'l',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.085452
2025-04-05 15:24:18.797862,2025-04-05 15:24:18.893896,'m',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.096034
2025-04-05 15:24:18.977412,2025-04-05 15:24:19.062629,'n',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.085217
2025-04-05 15:24:19.177757,2025-04-05 15:24:19.268096,'o',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.090339
2025-04-05 15:24:19.378293,2025-04-05 15:24:19.452565,'p',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.074272
2025-04-05 15:24:19.678362,2025-04-05 15:24:19.778560,'q',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.100198
2025-04-05 15:24:19.973628,2025-04-05 15:24:20.073848,'r',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.100220
2025-04-05 15:24:20.198629,2025-04-05 15:24:20.298567,'s',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.099938
2025-04-05 15:24:20.408807,2025-04-05 15:24:20.513815,'t',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.105008
2025-04-05 15:24:20.578389,2025-04-05 15:24:20.664206,'u',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.085817
2025-04-05 15:24:20.808855,2025-04-05 15:24:20.914535,'v',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.105680
2025-04-05 15:24:21.099035,2025-04-05 15:24:21.188800,'w',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.089765
2025-04-05 15:24:21.480148,2025-04-05 15:24:21.574933,'x',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.094785
2025-04-05 15:24:21.679528,2025-04-05 15:24:21.779381,'y',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.099853
2025-04-05 15:24:21.824374,2025-04-05 15:24:21.930081,'z',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.105707
2025-04-05 15:24:22.609730,2025-04-05 15:24:22.770320,'\x1a',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.160590
2025-04-05 15:24:22.274696,2025-04-05 15:24:22.829777,Key.ctrl_l,127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.555081
2025-04-05 15:24:27.398068,2025-04-05 15:24:27.547123,'\x03',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.149055
2025-04-05 15:24:27.244371,2025-04-05 15:24:27.573157,Key.ctrl_l,127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.328786
2025-04-05 15:24:28.223464,2025-04-05 15:24:28.348172,'\x16',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.124708
2025-04-05 15:24:28.137838,2025-04-05 15:24:28.358167,Key.ctrl_l,127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.220329
2025-04-05 15:24:31.240476,2025-04-05 15:24:31.390505,'\x03',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.150029
2025-04-05 15:24:31.080310,2025-04-05 15:24:31.410424,Key.ctrl_l,127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.330114
2025-04-05 15:24:32.061772,2025-04-05 15:24:32.205816,'\x16',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.144044
2025-04-05 15:24:31.946558,2025-04-05 15:24:32.225066,Key.ctrl_l,127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.278508
2025-04-05 15:24:33.632061,2025-04-05 15:24:33.772274,'a',127.0.0.1:3000/biometric-session?username=Fazil - Google Chrome,0:00:00.140213
