Timestamp_Press,Timestamp_Release,Key Stroke,Application,Hold Time
2024-11-23 00:02:00.596094,2024-11-23 00:02:00.865946,Key.ctrl_l,Lab-09(1) - Word,0:00:00.269852
2024-11-23 00:02:00.937843,2024-11-23 00:02:01.081988,Key.tab,Lab-09(1) - Word,0:00:00.144145
2024-11-23 00:02:00.851920,2024-11-23 00:02:01.646708,Key.alt_l,Lab-09(1) - Word,0:00:00.794788
2024-11-23 00:02:05.436448,2024-11-23 00:02:05.577789,Key.media_volume_down,VMware Horizon - Google Chrome,0:00:00.141341
2024-11-23 00:02:05.996725,2024-11-23 00:02:06.121407,Key.media_volume_down,VMware Horizon - Google Chrome,0:00:00.124682
2024-11-23 00:02:18.493459,2024-11-23 00:02:18.938224,Key.alt_l,VMware Horizon - Google Chrome,0:00:00.444765
2024-11-23 00:02:18.814031,2024-11-23 00:02:18.989531,Key.tab,VMware Horizon - Google Chrome,0:00:00.175500
2024-11-23 00:02:22.054288,2024-11-23 00:02:23.212135,Key.ctrl_l,Lab-09(1) - Word,0:00:01.157847
2024-11-23 00:02:29.132990,2024-11-23 00:02:29.281595,Key.alt_l,Lab-09(1) - Word,0:00:00.148605
2024-11-23 00:02:29.183208,2024-11-23 00:02:29.346682,Key.tab,Lab-09(1) - Word,0:00:00.163474
2024-11-23 00:02:30.802282,2024-11-23 00:02:30.965363,Key.alt_l,VMware Horizon - Google Chrome,0:00:00.163081
2024-11-23 00:02:30.877029,2024-11-23 00:02:31.027957,Key.tab,VMware Horizon - Google Chrome,0:00:00.150928
2024-11-23 00:02:32.627794,2024-11-23 00:02:32.811073,Key.alt_l,Lab-09(1) - Word,0:00:00.183279
2024-11-23 00:02:32.722985,2024-11-23 00:02:32.872423,Key.tab,Lab-09(1) - Word,0:00:00.149438
2024-11-23 00:03:12.580056,2024-11-23 00:03:12.734074,Key.media_volume_up,WhatsApp,0:00:00.154018
2024-11-23 00:03:13.188178,2024-11-23 00:03:13.477791,Key.media_volume_down,WhatsApp,0:00:00.289613
2024-11-23 00:03:13.648998,2024-11-23 00:03:13.833170,Key.media_volume_down,WhatsApp,0:00:00.184172
2024-11-23 00:03:13.984968,2024-11-23 00:03:14.137827,Key.media_volume_down,WhatsApp,0:00:00.152859
2024-11-23 00:03:14.305188,2024-11-23 00:03:14.442603,Key.media_volume_down,WhatsApp,0:00:00.137415
2024-11-23 00:03:21.008933,2024-11-23 00:03:21.117954,Key.esc,WhatsApp,0:00:00.109021
2024-11-23 00:03:40.279838,2024-11-23 00:03:40.398216,Key.esc,WhatsApp,0:00:00.118378
2024-11-23 00:03:46.059548,2024-11-23 00:03:46.223827,Key.tab,WhatsApp,0:00:00.164279
2024-11-23 00:03:45.958945,2024-11-23 00:03:47.098744,Key.alt_l,WhatsApp,0:00:01.139799
2024-11-23 00:03:52.031409,2024-11-23 00:03:52.209853,Key.tab,Lab-09(1) - Word,0:00:00.178444
2024-11-23 00:03:51.961814,2024-11-23 00:03:53.701420,Key.alt_l,Lab-09(1) - Word,0:00:01.739606
2024-11-23 00:03:53.545465,2024-11-23 00:03:53.716023,Key.tab,Task Switching,0:00:00.170558
2024-11-23 00:04:36.683957,2024-11-23 00:04:36.905083,Key.alt_l,WhatsApp,0:00:00.221126
2024-11-23 00:04:36.809106,2024-11-23 00:04:36.984337,Key.tab,WhatsApp,0:00:00.175231
2024-11-23 00:04:40.779764,2024-11-23 00:04:40.907601,'y',New Tab - Google Chrome,0:00:00.127837
2024-11-23 00:04:41.042862,2024-11-23 00:04:41.165100,'u',New Tab - Google Chrome,0:00:00.122238
2024-11-23 00:04:40.983731,2024-11-23 00:04:41.179774,'o',New Tab - Google Chrome,0:00:00.196043
2024-11-22 22:07:04.408977,2024-11-23 00:04:42.223569,'\x17',New Tab - Google Chrome,1:57:37.814592
2024-11-23 00:04:41.938257,2024-11-23 00:04:42.243048,Key.ctrl_l,New Tab - Google Chrome,0:00:00.304791
2024-11-23 00:04:46.321277,2024-11-23 00:04:46.503871,Key.tab,VMware Horizon - Google Chrome,0:00:00.182594
2024-11-23 00:04:46.264689,2024-11-23 00:04:47.714912,Key.alt_l,VMware Horizon - Google Chrome,0:00:01.450223
2024-11-23 00:05:04.985343,2024-11-23 00:05:05.139319,Key.alt_l,WhatsApp,0:00:00.153976
2024-11-23 00:05:05.023718,2024-11-23 00:05:05.198045,Key.tab,WhatsApp,0:00:00.174327
2024-11-23 00:05:24.647784,2024-11-23 00:05:27.925938,Key.ctrl_l,WhatsApp,0:00:03.278154
2024-11-23 00:05:29.903960,2024-11-23 00:05:32.397854,Key.ctrl_l,WhatsApp,0:00:02.493894
2024-11-23 00:05:36.111594,2024-11-23 00:05:36.285652,Key.esc,WhatsApp,0:00:00.174058
2024-11-23 00:05:40.176917,2024-11-23 00:05:40.431820,Key.alt_l,WhatsApp,0:00:00.254903
2024-11-23 00:05:40.342615,2024-11-23 00:05:40.483581,Key.tab,WhatsApp,0:00:00.140966
2024-11-23 00:05:55.115788,2024-11-23 00:05:55.364976,Key.shift,VMware Horizon - Google Chrome,0:00:00.249188
