Timestamp_Press,Timestamp_Release,Key Stroke,Application,Hold Time
2024-11-23 00:00:01.358199,2024-11-23 00:00:01.708011,Key.ctrl_l,VMware Horizon - Brave,0:00:00.349812
2024-11-23 00:00:02.295629,2024-11-23 00:00:02.472953,Key.down,VMware Horizon - Brave,0:00:00.177324
2024-11-23 00:00:02.607165,2024-11-23 00:00:02.693231,Key.down,VMware Horizon - Brave,0:00:00.086066
2024-11-23 00:00:02.863587,2024-11-23 00:00:02.923694,Key.down,VMware Horizon - Brave,0:00:00.060107
2024-11-23 00:00:03.089585,2024-11-23 00:00:03.176311,Key.down,VMware Horizon - Brave,0:00:00.086726
2024-11-23 00:00:04.064910,2024-11-23 00:00:04.116734,Key.down,VMware Horizon - Brave,0:00:00.051824
2024-11-23 00:00:04.296015,2024-11-23 00:00:04.349128,Key.down,VMware Horizon - Brave,0:00:00.053113
2024-11-23 00:00:04.686358,2024-11-23 00:00:04.802016,Key.down,VMware Horizon - Brave,0:00:00.115658
2024-11-23 00:00:07.080121,2024-11-23 00:00:07.410829,Key.ctrl_l,VMware Horizon - Brave,0:00:00.330708
2024-11-23 00:00:07.694269,2024-11-23 00:00:08.082601,Key.ctrl_l,VMware Horizon - Brave,0:00:00.388332
2024-11-23 00:00:09.976609,2024-11-23 00:00:10.091882,Key.up,VMware Horizon - Brave,0:00:00.115273
2024-11-23 00:00:11.880100,2024-11-23 00:00:12.041248,Key.up,VMware Horizon - Brave,0:00:00.161148
2024-11-23 00:00:12.617278,2024-11-23 00:00:12.731195,Key.enter,VMware Horizon - Brave,0:00:00.113917
2024-11-23 00:00:13.373065,2024-11-23 00:00:13.448589,Key.down,VMware Horizon - Brave,0:00:00.075524
2024-11-23 00:00:13.571856,2024-11-23 00:00:13.647950,Key.down,VMware Horizon - Brave,0:00:00.076094
2024-11-23 00:00:13.743134,2024-11-23 00:00:13.840606,Key.down,VMware Horizon - Brave,0:00:00.097472
2024-11-23 00:00:13.937719,2024-11-23 00:00:14.020768,Key.down,VMware Horizon - Brave,0:00:00.083049
2024-11-23 00:00:14.129965,2024-11-23 00:00:14.212651,Key.down,VMware Horizon - Brave,0:00:00.082686
2024-11-23 00:00:14.337432,2024-11-23 00:00:14.424806,Key.down,VMware Horizon - Brave,0:00:00.087374
2024-11-23 00:00:14.522023,2024-11-23 00:00:14.637253,Key.down,VMware Horizon - Brave,0:00:00.115230
2024-11-23 00:00:14.743555,2024-11-23 00:00:14.855334,Key.down,VMware Horizon - Brave,0:00:00.111779
2024-11-23 00:00:14.950248,2024-11-23 00:00:15.078546,Key.down,VMware Horizon - Brave,0:00:00.128298
2024-11-23 00:00:15.166851,2024-11-23 00:00:16.116741,Key.down,VMware Horizon - Brave,0:00:00.949890
2024-11-23 00:00:16.351059,2024-11-23 00:00:16.495341,Key.down,VMware Horizon - Brave,0:00:00.144282
2024-11-23 00:00:17.155110,2024-11-23 00:00:17.277843,Key.down,VMware Horizon - Brave,0:00:00.122733
2024-11-23 00:00:17.389184,2024-11-23 00:00:17.453153,Key.down,VMware Horizon - Brave,0:00:00.063969
2024-11-23 00:00:17.588778,2024-11-23 00:00:17.668945,Key.down,VMware Horizon - Brave,0:00:00.080167
2024-11-23 00:00:17.778900,2024-11-23 00:00:17.869401,Key.down,VMware Horizon - Brave,0:00:00.090501
2024-11-23 00:00:17.986112,2024-11-23 00:00:18.067150,Key.down,VMware Horizon - Brave,0:00:00.081038
2024-11-23 00:00:18.847656,2024-11-23 00:00:18.974166,Key.down,VMware Horizon - Brave,0:00:00.126510
2024-11-23 00:00:19.094863,2024-11-23 00:00:19.169175,Key.down,VMware Horizon - Brave,0:00:00.074312
2024-11-23 00:00:19.315204,2024-11-23 00:00:19.388890,Key.down,VMware Horizon - Brave,0:00:00.073686
2024-11-23 00:00:21.141629,2024-11-23 00:00:21.295905,Key.up,VMware Horizon - Brave,0:00:00.154276
2024-11-23 00:00:21.414516,2024-11-23 00:00:21.506343,Key.up,VMware Horizon - Brave,0:00:00.091827
2024-11-23 00:00:21.881249,2024-11-23 00:00:21.972208,Key.down,VMware Horizon - Brave,0:00:00.090959
2024-11-23 00:00:22.637087,2024-11-23 00:00:22.786160,Key.down,VMware Horizon - Brave,0:00:00.149073
2024-11-23 00:00:23.662207,2024-11-23 00:00:23.746205,Key.enter,VMware Horizon - Brave,0:00:00.083998
2024-11-23 00:00:24.216517,2024-11-23 00:00:24.312783,Key.up,VMware Horizon - Brave,0:00:00.096266
2024-11-23 00:00:25.840646,2024-11-23 00:00:25.931213,Key.caps_lock,VMware Horizon - Brave,0:00:00.090567
2024-11-23 00:00:25.999814,2024-11-23 00:00:26.100474,'p',VMware Horizon - Brave,0:00:00.100660
2024-11-23 00:00:26.029370,2024-11-23 00:00:26.141623,Key.caps_lock,VMware Horizon - Brave,0:00:00.112253
2024-11-23 00:00:26.337384,2024-11-23 00:00:26.461527,'r',VMware Horizon - Brave,0:00:00.124143
2024-11-23 00:00:26.438995,2024-11-23 00:00:26.555065,'i',VMware Horizon - Brave,0:00:00.116070
2024-11-23 00:00:26.592884,2024-11-23 00:00:26.727570,'n',VMware Horizon - Brave,0:00:00.134686
