Timestamp_Press,Timestamp_Release,Key Stroke,Application,Hold Time
2025-04-05 12:43:52.448831,2025-04-05 12:43:52.562829,'h',multi_binary_model.py - WebApp - Cursor [Administrator],0:00:00.113998
2025-04-05 12:43:52.727506,2025-04-05 12:43:52.868129,'i',multi_binary_model.py - WebApp - Cursor [Administrator],0:00:00.140623
2025-04-05 12:44:08.210404,2025-04-05 12:44:08.334130,'\x06',app.py - WebApp - Cursor [Administrator],0:00:00.123726
2025-04-05 12:44:07.949106,2025-04-05 12:44:08.424430,Key.ctrl_l,app.py - WebApp - Cursor [Administrator],0:00:00.475324
2025-04-05 12:44:08.949802,2025-04-05 12:44:09.186272,Key.shift,app.py - WebApp - Cursor [Administrator],0:00:00.236470
2025-04-05 12:44:09.295595,2025-04-05 12:44:09.390693,'e',app.py - WebApp - Cursor [Administrator],0:00:00.095098
2025-04-05 12:44:09.445789,2025-04-05 12:44:09.566627,'n',app.py - WebApp - Cursor [Administrator],0:00:00.120838
2025-04-05 12:44:09.586138,2025-04-05 12:44:09.692603,'d',app.py - WebApp - Cursor [Administrator],0:00:00.106465
2025-04-05 12:44:09.680573,2025-04-05 12:44:09.796405,'i',app.py - WebApp - Cursor [Administrator],0:00:00.115832
2025-04-05 12:44:09.823775,2025-04-05 12:44:09.920859,'n',app.py - WebApp - Cursor [Administrator],0:00:00.097084
2025-04-05 12:44:09.932889,2025-04-05 12:44:10.041650,'g',app.py - WebApp - Cursor [Administrator],0:00:00.108761
2025-04-05 12:44:10.056709,2025-04-05 12:44:10.172275,Key.space,app.py - WebApp - Cursor [Administrator],0:00:00.115566
2025-04-05 12:44:10.361703,2025-04-05 12:44:10.481382,'s',app.py - WebApp - Cursor [Administrator],0:00:00.119679
2025-04-05 12:44:10.542081,2025-04-05 12:44:10.671205,'u',app.py - WebApp - Cursor [Administrator],0:00:00.129124
2025-04-05 12:44:10.736943,2025-04-05 12:44:10.826994,'c',app.py - WebApp - Cursor [Administrator],0:00:00.090051
2025-04-05 12:44:10.907062,2025-04-05 12:44:10.997467,'c',app.py - WebApp - Cursor [Administrator],0:00:00.090405
2025-04-05 12:44:11.138415,2025-04-05 12:44:11.222573,'e',app.py - WebApp - Cursor [Administrator],0:00:00.084158
2025-04-05 12:44:11.622417,2025-04-05 12:44:11.728434,'s',app.py - WebApp - Cursor [Administrator],0:00:00.106017
2025-04-05 12:44:11.808471,2025-04-05 12:44:11.923346,'s',app.py - WebApp - Cursor [Administrator],0:00:00.114875
2025-04-05 12:44:12.007864,2025-04-05 12:44:12.129476,'f',app.py - WebApp - Cursor [Administrator],0:00:00.121612
